,Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country,tv_or_film
53,User 1,2022-01-29 18:24:44,00:44:44,,Star Trek: The Next Generation: Season 4: Remember Me (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:44,00:44:44,GB (United Kingdom),tv
54,User 1,2022-01-29 18:22:42,00:00:09,Autoplayed: user action: None; ,Shadowhunters: The Mortal Instruments: Season 3 (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:09,00:00:09,GB (United Kingdom),tv
55,User 1,2022-01-29 18:21:27,00:00:04,Autoplayed: user action: None; ,The Mist (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:05,00:00:05,GB (United Kingdom),tv
56,User 1,2022-01-29 18:20:52,00:00:08,Autoplayed: user action: None; ,Dawson's Creek: Season 1_hook_02_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:09,00:00:09,GB (United Kingdom),tv
57,User 1,2022-01-29 18:20:17,00:00:22,Autoplayed: user action: None; ,H: Season 1_hook_04_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:23,00:00:23,GB (United Kingdom),tv
58,User 1,2022-01-29 17:48:42,00:00:06,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,Not latest view,GB (United Kingdom),tv
59,User 1,2022-01-29 17:48:29,00:00:04,Autoplayed: user action: None; ,Star Trek: Deep Space Nine: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:15,00:00:15,GB (United Kingdom),tv
62,User 1,2022-01-29 17:32:17,00:00:35,Autoplayed: user action: None; ,This Way Up: Series 1_hook_04_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:35,00:00:35,GB (United Kingdom),tv
63,User 1,2022-01-29 17:30:24,00:00:33,Autoplayed: user action: None; ,Star Trek: Season 1_hook_primary_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:33,Not latest view,GB (United Kingdom),tv
64,User 1,2022-01-29 17:26:53,00:00:30,Autoplayed: user action: None; ,Season 1 Trailer: Feria: The Darkest Light,TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:31,00:00:31,GB (United Kingdom),tv
65,User 1,2022-01-29 17:26:33,00:00:05,Autoplayed: user action: None; ,Season 1 Teaser: Barbarians,TEASER_TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:06,00:00:06,GB (United Kingdom),tv
66,User 1,2022-01-29 17:25:40,00:00:13,Autoplayed: user action: None; ,Season 4 Trailer: The Crown,TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:14,00:00:14,GB (United Kingdom),tv
68,User 1,2022-01-29 14:17:41,00:00:12,Autoplayed: user action: None; ,"Too Hot to Handle: Season 1: Love, Sex or Money (Episode 1)",,Netflix Chrome MAC (Cadmium) HTML 5,00:00:18,00:00:18,GB (United Kingdom),tv
69,User 1,2022-01-29 13:31:06,00:45:26,,Too Hot to Handle: Season 3: Out With A Bang (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:46:38,00:46:38,GB (United Kingdom),tv
70,User 1,2022-01-29 13:27:18,00:01:01,Autoplayed: user action: None; ,Too Hot to Handle Latino: Season 1: Clip: Informative,HOOK,Apple iPhone SE Gen 2 iPhone,00:01:01,00:01:01,GB (United Kingdom),tv
71,User 1,2022-01-29 11:09:10,00:00:51,Autoplayed: user action: None; ,Roman Empire: Caligula: The Mad Emperor (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:52,00:00:52,GB (United Kingdom),tv
72,User 1,2022-01-29 10:36:49,00:01:56,Autoplayed: user action: None; ,Season 1 Trailer: Too Hot To Handle: Brazil,TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:56,00:01:56,GB (United Kingdom),tv
73,User 1,2022-01-28 23:51:01,00:00:03,Autoplayed: user action: None; ,Too Hot to Handle: Season 3: Out With A Bang (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,Not latest view,GB (United Kingdom),tv
74,User 1,2022-01-28 23:06:25,00:43:14,,Too Hot to Handle: Season 3: Paradise Purgatory (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:19,00:43:19,GB (United Kingdom),tv
75,User 1,2022-01-28 22:23:35,00:41:41,,Too Hot to Handle: Season 3: Reaching Rock Bottom (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:46,00:41:46,GB (United Kingdom),tv
76,User 1,2022-01-28 21:41:12,00:42:21,,Too Hot to Handle: Season 3: Yoni Live Once (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:42:05,00:42:05,GB (United Kingdom),tv
77,User 1,2022-01-28 20:57:39,00:37:42,,Too Hot to Handle: Season 3: Triple Threat (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:37:47,00:37:47,GB (United Kingdom),tv
78,User 1,2022-01-28 20:19:44,00:37:53,,Too Hot to Handle: Season 3: The Summer of '69 (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:37:37,00:37:37,GB (United Kingdom),tv
79,User 1,2022-01-28 19:48:07,00:31:18,,Too Hot to Handle: Season 3: Eat My Shorts (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:30:53,00:30:53,GB (United Kingdom),tv
80,User 1,2022-01-28 19:07:29,00:40:01,,Too Hot to Handle: Season 3: The Truth Hurts (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:07,00:40:07,GB (United Kingdom),tv
81,User 1,2022-01-28 18:32:47,00:33:58,,Too Hot to Handle: Season 3: The Midnight Train to Georgia (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:34:04,00:34:04,GB (United Kingdom),tv
82,User 1,2022-01-28 17:47:29,00:43:36,,Too Hot to Handle: Season 3: No Pleasure Island (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:11,00:44:11,GB (United Kingdom),tv
83,User 1,2022-01-28 17:46:21,00:00:55,Autoplayed: user action: None; ,Season 3 Moment of High Emotion Clip: Too Hot to Handle,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:55,00:00:55,GB (United Kingdom),tv
84,User 1,2022-01-28 17:46:09,00:00:09,Autoplayed: user action: None; ,Too Hot to Handle: Season 2: Clip: Intense Emotion,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,GB (United Kingdom),tv
85,User 1,2022-01-28 10:41:07,00:00:44,Autoplayed: user action: None; ,Kiss Me First: Season 1_hook_02_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:44,00:00:44,GB (United Kingdom),tv
86,User 1,2022-01-28 10:39:43,00:01:19,Autoplayed: user action: None; ,Altered Carbon: Resleeved (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:20,00:01:20,GB (United Kingdom),tv
87,User 1,2022-01-28 10:26:20,00:01:12,Autoplayed: user action: None; ,Trailer: Rebecca,TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:13,00:01:13,GB (United Kingdom),tv
91,User 1,2022-01-27 22:11:56,00:00:28,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:28,Not latest view,GB (United Kingdom),tv
92,User 1,2022-01-27 21:28:50,00:42:36,,Star Trek: The Next Generation: Season 6: Frame of Mind (Episode 21),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:19,00:44:19,GB (United Kingdom),tv
93,User 1,2022-01-27 21:28:20,00:00:07,,Star Trek: The Next Generation: Season 6: Frame of Mind (Episode 21),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,Not latest view,GB (United Kingdom),tv
94,User 1,2022-01-27 21:27:30,00:00:04,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,GB (United Kingdom),tv
95,User 1,2022-01-27 21:26:46,00:00:35,Autoplayed: user action: None; ,Trailer: Don't Look Up,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:35,00:00:35,GB (United Kingdom),tv
102,User 1,2022-01-27 16:57:23,00:00:13,Autoplayed: user action: None; ,Mute (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:14,00:00:14,GB (United Kingdom),tv
111,User 1,2022-01-23 14:47:12,00:05:44,,Call My Agent!: Season 1: Cécile (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:05:44,00:05:44,GB (United Kingdom),tv
112,User 1,2022-01-23 12:48:13,00:01:12,Autoplayed: user action: None; ,Trailer: If Anything Happens I Love You,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:01:12,00:01:12,GB (United Kingdom),tv
113,User 1,2022-01-22 20:44:36,00:00:30,Autoplayed: user action: None; ,Call My Agent!: Season 1 (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:31,00:00:31,GB (United Kingdom),tv
114,User 1,2022-01-22 20:44:24,00:00:02,,Call My Agent!: Season 4: Jean (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:02,00:00:02,GB (United Kingdom),tv
115,User 1,2022-01-22 20:42:48,00:00:23,Autoplayed: user action: None; ,Call My Agent!: Season 1 (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:24,Not latest view,GB (United Kingdom),tv
119,User 1,2022-01-20 20:45:34,00:00:04,Autoplayed: user action: None; ,Fargo: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,GB (United Kingdom),tv
120,User 1,2022-01-20 20:45:22,00:00:07,Autoplayed: user action: None; ,Armed and Deadly: Police UK Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:10,00:00:10,GB (United Kingdom),tv
122,User 1,2022-01-20 18:54:59,00:00:34,Autoplayed: user action: None; ,The Luminaries: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:44,00:00:44,GB (United Kingdom),tv
123,User 1,2022-01-19 12:52:28,00:00:12,Autoplayed: user action: None; ,The Luminaries: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,Not latest view,GB (United Kingdom),tv
124,User 1,2022-01-19 11:42:38,00:21:13,,South Park: Season 22: The Problem with a Poo (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:51,00:21:51,GB (United Kingdom),tv
125,User 1,2022-01-18 20:45:03,00:21:32,,South Park: Season 22: A Boy and a Priest (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:22:10,00:22:10,GB (United Kingdom),tv
126,User 1,2022-01-18 20:23:18,00:21:40,,South Park: Season 22: Dead Kids (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:22:05,00:22:05,GB (United Kingdom),tv
127,User 1,2022-01-18 20:22:47,00:00:05,Autoplayed: user action: None; ,Star Trek: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,Not latest view,GB (United Kingdom),tv
132,User 1,2022-01-18 20:18:22,00:00:04,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: Archive 81,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,GB (United Kingdom),tv
135,User 1,2022-01-16 21:34:50,00:00:08,Autoplayed: user action: None; ,Struggle: The Life and Lost Art of Szukalski (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,GB (United Kingdom),tv
137,User 1,2022-01-16 20:24:57,00:00:11,Autoplayed: user action: None; ,Struggle: The Life and Lost Art of Szukalski (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,Not latest view,GB (United Kingdom),tv
142,User 1,2022-01-15 17:37:43,00:01:18,Autoplayed: user action: None; ,Trailer: Britney Vs Spears,TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:18,00:01:18,GB (United Kingdom),tv
144,User 1,2022-01-15 17:34:37,00:02:30,,Tony Robbins: I Am Not Your Guru (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:30,00:02:30,GB (United Kingdom),tv
145,User 1,2022-01-15 17:34:22,00:02:32,,Struggle: The Life and Lost Art of Szukalski (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:32,Not latest view,GB (United Kingdom),tv
146,User 1,2022-01-15 17:31:44,00:02:30,,Tony Robbins: I Am Not Your Guru (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:30,Not latest view,GB (United Kingdom),tv
147,User 1,2022-01-15 17:29:10,00:02:29,,The Land of Steady Habits (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:29,00:02:29,GB (United Kingdom),tv
148,User 1,2022-01-15 17:26:47,00:02:03,,Last Chance U: EMCC: Part 1 (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:04,00:02:04,GB (United Kingdom),tv
153,User 1,2022-01-15 17:19:56,00:01:57,Autoplayed: user action: None; ,Paddleton (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:57,00:01:57,GB (United Kingdom),tv
170,User 1,2022-01-15 17:09:19,00:01:17,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: Archive 81,HOOK,Apple iPhone SE Gen 2 iPhone,00:01:18,Not latest view,GB (United Kingdom),tv
171,User 1,2022-01-15 17:07:37,00:01:28,Autoplayed: user action: None; ,Genre Specific Moment Clip: Stay Close: Season 1,HOOK,Apple iPhone SE Gen 2 iPhone,00:01:28,00:01:28,GB (United Kingdom),tv
173,User 1,2022-01-14 23:12:39,00:00:05,Autoplayed: user action: None; ,Okja (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:06,00:00:06,GB (United Kingdom),tv
181,User 1,2022-01-14 18:23:20,00:12:05,,"A Very Secret Service: Season 1: Algeria, It’s France (Episode 4)",,Apple iPhone SE Gen 2 iPhone,00:13:21,00:13:21,GB (United Kingdom),tv
182,User 1,2022-01-14 18:00:42,00:22:37,,A Very Secret Service: Season 1: A Bit of Sun (Episode 3),,Apple iPhone SE Gen 2 iPhone,00:23:44,00:23:44,GB (United Kingdom),tv
183,User 1,2022-01-14 17:38:45,00:21:55,,A Very Secret Service: Season 1: There’s German and German (Episode 2),,Apple iPhone SE Gen 2 iPhone,00:22:58,00:22:58,GB (United Kingdom),tv
184,User 1,2022-01-14 16:54:34,00:23:54,,A Very Secret Service: Season 1: The Tsèt (Episode 1),,Apple iPhone SE Gen 2 iPhone,00:23:55,00:23:55,GB (United Kingdom),tv
185,User 1,2022-01-14 16:53:28,00:01:00,Autoplayed: user action: None; ,A Very Secret Service (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:00,00:01:00,GB (United Kingdom),tv
186,User 1,2022-01-14 16:14:46,00:00:20,Autoplayed: user action: None; ,Safe (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:21,00:00:21,GB (United Kingdom),tv
188,User 1,2022-01-14 15:59:08,00:00:39,Autoplayed: user action: None; ,Cheer: Season 1_VAR3-ABSTRACT_AGENCY1,TEASER_TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:40,00:00:40,GB (United Kingdom),tv
198,User 1,2022-01-10 13:53:29,00:32:17,,The Witcher: Season 2: Family (Episode 8),,Apple iPhone SE Gen 2 iPhone,00:50:57,00:50:57,GB (United Kingdom),tv
199,User 1,2022-01-09 22:34:18,00:02:42,,The Witcher: Season 2: Family (Episode 8),,Apple iPhone SE Gen 2 iPhone,00:18:20,Not latest view,GB (United Kingdom),tv
200,User 1,2022-01-09 21:37:19,00:15:02,,The Witcher: Season 2: Family (Episode 8),,Apple iPhone SE Gen 2 iPhone,00:15:38,Not latest view,GB (United Kingdom),tv
201,User 1,2022-01-09 20:48:13,00:46:19,,The Witcher: Season 2: Voleth Meir (Episode 7),,Apple iPhone SE Gen 2 iPhone,00:50:19,00:50:19,GB (United Kingdom),tv
202,User 1,2022-01-09 19:58:32,00:02:52,,The Witcher: Season 2: Voleth Meir (Episode 7),,Apple iPhone SE Gen 2 iPhone,00:04:00,Not latest view,GB (United Kingdom),tv
203,User 1,2022-01-09 18:32:07,00:50:06,,The Witcher: Season 2: Dear Friend... (Episode 6),,Apple iPhone SE Gen 2 iPhone,00:53:01,00:53:01,GB (United Kingdom),tv
204,User 1,2022-01-09 17:36:56,00:52:19,,The Witcher: Season 2: Turn Your Back (Episode 5),,Apple iPhone SE Gen 2 iPhone,00:52:25,00:52:25,GB (United Kingdom),tv
205,User 1,2022-01-09 16:44:14,00:46:20,,The Witcher: Season 2: Redanian Intelligence (Episode 4),,Apple iPhone SE Gen 2 iPhone,00:55:31,00:55:31,GB (United Kingdom),tv
206,User 1,2022-01-09 15:47:46,00:27:02,,The Witcher: Season 2: What Is Lost (Episode 3),,Apple iPhone SE Gen 2 iPhone,00:55:09,00:55:09,GB (United Kingdom),tv
207,User 1,2022-01-09 15:45:32,00:01:02,Autoplayed: user action: None; ,Bodyguard: Season 1_hook_primary_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:01:02,00:01:02,GB (United Kingdom),tv
208,User 1,2022-01-09 15:45:08,00:00:09,Autoplayed: user action: None; ,The Fall: Series 1_hook_primary_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:10,00:00:10,GB (United Kingdom),tv
211,User 1,2022-01-09 15:41:00,00:02:58,,The Witcher: Season 2: Kaer Morhen (Episode 2),,Apple iPhone SE Gen 2 iPhone,00:54:28,00:54:28,GB (United Kingdom),tv
212,User 1,2022-01-09 14:29:03,00:51:54,,The Witcher: Season 2: Kaer Morhen (Episode 2),,Apple iPhone SE Gen 2 iPhone,00:51:00,Not latest view,GB (United Kingdom),tv
213,User 1,2022-01-09 14:05:36,00:23:16,,The Witcher: Season 2: A Grain of Truth (Episode 1),,Apple iPhone SE Gen 2 iPhone,00:59:15,00:59:15,GB (United Kingdom),tv
214,User 1,2022-01-05 18:59:32,00:00:37,,The Witcher: Season 2: A Grain of Truth (Episode 1),,Apple iPhone SE Gen 2 iPhone,00:35:58,Not latest view,GB (United Kingdom),tv
217,User 1,2022-01-05 18:56:08,00:00:08,Autoplayed: user action: None; ,Trailer: The Forgotten Battle,TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:09,00:00:09,GB (United Kingdom),tv
219,User 1,2022-01-05 10:23:11,00:06:37,,The Witcher: Season 2: A Grain of Truth (Episode 1),,Apple iPhone SE Gen 2 iPhone,00:35:21,Not latest view,GB (United Kingdom),tv
220,User 1,2022-01-04 17:12:13,00:28:58,,The Witcher: Season 2: A Grain of Truth (Episode 1),,Apple iPhone SE Gen 2 iPhone,00:28:39,Not latest view,GB (United Kingdom),tv
221,User 1,2022-01-04 17:07:14,00:03:03,,Season 1 Recap: The Witcher,RECAP,Apple iPhone SE Gen 2 iPhone,00:03:04,00:03:04,GB (United Kingdom),tv
226,User 1,2022-01-04 12:02:33,00:00:19,Autoplayed: user action: None; ,Santa Clarita Diet: Season 3 (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:20,00:00:20,GB (United Kingdom),tv
228,User 1,2022-01-04 12:00:01,00:02:05,,Santa Clarita Diet: Season 3 (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:06,Not latest view,GB (United Kingdom),tv
229,User 1,2022-01-04 11:58:21,00:00:08,,Archer: Season 1_hook_primary_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:09,00:00:09,GB (United Kingdom),tv
232,User 1,2022-01-04 11:57:55,00:00:04,,Season 1 Trailer 2: The Silent Sea,TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:05,00:00:05,GB (United Kingdom),tv
