,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
55,4,6,4,10,5,21,1,1,0,0,0,0,0,0,3,5,1,24
56,6,3,5,14,7,24,2,0,0,1,0,0,0,0,4,6,2,8
57,7,6,5,11,6,25,1,0,0,0,1,0,0,0,2,5,2,7
58,4,4,5,8,5,18,1,0,1,0,0,0,0,0,1,5,2,18
59,4,6,4,11,5,23,1,0,0,0,0,0,1,0,3,5,1,27
60,6,4,6,10,7,21,1,0,1,0,0,0,0,0,3,6,1,8
61,7,7,7,14,6,30,2,0,0,0,0,0,1,0,4,5,1,27
62,11,6,8,14,7,33,2,1,0,0,0,0,0,0,1,6,1,24
63,5,4,4,9,7,19,1,0,0,0,0,0,1,0,2,4,2,15
64,3,5,3,11,5,20,1,0,1,0,0,0,0,0,4,5,1,23
65,5,5,4,11,4,22,1,0,1,0,0,0,0,0,2,6,2,8
66,3,5,3,10,6,19,1,0,0,0,0,0,1,0,1,5,2,27
67,6,8,7,13,7,29,1,0,1,0,0,0,0,0,1,6,2,24
68,5,7,6,13,5,27,2,1,0,0,0,0,0,0,3,6,1,24
69,7,7,5,11,4,25,2,0,1,0,0,0,0,0,1,5,1,7
71,5,7,4,11,6,24,1,1,0,0,0,0,0,0,1,5,3,14
72,3,3,3,6,7,13,1,1,0,0,0,0,0,0,1,5,2,2
73,10,9,8,18,6,38,3,1,0,0,0,0,0,0,5,6,1,9
74,3,6,3,13,7,23,1,1,0,0,0,0,0,0,1,5,2,14
75,3,5,4,11,6,21,1,1,0,0,0,0,0,0,2,6,1,2
76,10,12,8,20,6,44,2,1,0,0,0,0,0,0,1,5,1,7
77,5,9,5,11,5,27,1,1,0,0,0,0,0,0,3,6,1,24
78,7,7,6,10,6,25,2,1,0,0,0,0,0,0,4,5,1,24
79,6,7,9,16,3,34,2,1,0,0,0,0,0,0,1,5,2,14
80,6,7,6,13,6,28,2,1,0,0,0,0,0,0,1,5,1,7
81,6,9,6,12,4,29,2,1,0,0,0,0,0,0,1,5,1,9
83,5,8,8,14,4,31,2,1,0,0,0,0,0,0,1,5,1,24
84,5,7,7,12,5,28,1,1,0,0,0,0,0,0,1,5,2,2
86,6,7,7,15,3,30,2,1,0,0,0,0,0,0,2,4,2,14
87,3,3,3,9,7,16,1,1,0,0,0,0,0,0,5,6,2,17
88,4,7,5,14,5,28,1,1,0,0,0,0,0,0,3,5,1,24
89,3,3,3,8,4,15,1,0,0,0,1,0,0,0,2,5,1,27
90,8,8,10,16,4,36,2,0,0,1,0,0,0,0,2,6,1,7
92,8,9,9,16,4,36,2,1,0,0,0,0,0,0,1,6,2,24
93,7,7,7,15,5,32,2,1,0,0,0,0,0,0,1,6,1,14
94,9,7,8,11,7,29,2,0,0,0,0,1,0,0,3,4,2,27
96,7,8,7,11,5,28,2,0,1,0,0,0,0,0,1,5,1,13
97,3,5,4,12,5,22,1,1,0,0,0,0,0,0,1,5,2,14
99,8,6,9,12,3,29,2,1,0,0,0,0,0,0,1,5,2,19
100,6,5,6,17,7,30,2,0,0,0,0,0,1,0,3,6,2,27
101,3,5,3,9,4,18,1,1,0,0,0,0,0,0,3,5,1,16
102,6,5,4,14,6,25,2,1,0,0,0,0,0,0,2,6,1,8
103,5,5,6,13,5,26,1,1,0,0,0,0,0,0,1,4,2,14
104,4,3,4,9,4,17,1,0,0,0,1,0,0,0,2,6,2,13
105,9,8,9,13,3,32,3,1,0,0,0,0,0,0,1,4,2,6
106,5,7,7,14,5,29,1,1,0,0,0,0,0,0,1,5,2,14
107,7,7,8,14,5,31,2,0,1,0,0,0,0,0,1,5,1,18
108,4,7,3,10,4,22,1,1,0,0,0,0,0,0,1,5,2,24
109,10,8,11,16,6,37,4,1,0,0,0,0,0,0,1,5,2,18
111,4,5,5,9,4,20,1,0,0,0,0,1,0,0,4,6,2,13
112,6,8,6,16,4,32,2,1,0,0,0,0,0,0,1,5,1,12
113,6,9,6,12,4,29,2,0,0,0,0,0,1,0,1,5,2,27
115,7,8,9,17,4,35,2,1,0,0,0,0,0,0,1,5,1,24
116,5,4,5,7,6,17,1,0,0,1,0,0,0,0,1,5,3,23
117,3,4,3,7,7,15,1,1,0,0,0,0,0,0,2,5,2,24
118,5,7,4,14,5,27,1,0,0,1,0,0,0,0,3,5,2,27
119,3,4,3,9,6,17,1,0,0,1,0,0,0,0,3,5,2,7
120,4,5,4,9,7,19,1,1,0,0,0,0,0,0,2,4,2,24
121,3,4,3,11,6,19,1,0,0,0,0,0,1,0,3,4,2,27
122,6,7,7,14,6,30,2,0,0,0,0,1,0,0,3,4,1,27
124,7,4,5,13,6,25,1,0,0,1,0,0,0,0,3,5,1,27
125,5,4,4,13,5,23,1,0,1,0,0,0,0,0,3,6,3,8
126,4,6,4,10,7,21,1,0,0,0,0,1,0,0,2,5,2,27
127,3,4,3,7,6,15,1,0,0,1,0,0,0,0,1,6,2,7
128,7,4,6,15,7,26,2,0,1,0,0,0,0,0,3,5,2,27
129,4,5,4,12,5,22,1,0,0,0,1,0,0,0,3,6,2,8
130,3,5,4,11,7,21,1,0,0,0,0,1,0,0,2,5,2,13
131,5,8,7,16,6,33,2,1,0,0,0,0,0,0,1,5,2,1
132,4,9,5,11,4,26,1,0,0,1,0,0,0,0,3,4,1,4
133,8,7,5,14,6,29,2,0,0,0,0,1,0,0,2,5,1,27
134,5,4,4,11,7,21,1,0,0,0,0,0,1,0,1,5,1,27
136,4,4,4,13,6,22,1,0,0,0,0,1,0,0,3,6,2,8
137,5,9,5,11,6,27,1,0,0,0,0,0,0,1,2,4,2,27
138,7,8,6,14,6,30,3,0,0,0,0,0,0,1,2,4,2,27
139,3,4,3,9,5,17,1,0,0,0,0,1,0,0,2,4,2,6
140,3,4,3,6,6,14,1,0,0,0,0,0,1,0,4,4,1,16
141,3,5,5,10,6,21,1,0,0,0,0,0,1,0,3,4,1,27
142,3,4,4,7,7,16,1,0,0,0,0,0,1,0,2,2,2,27
143,4,5,4,17,5,27,1,0,0,0,0,0,1,0,5,6,2,7
144,3,3,3,7,6,14,1,0,0,0,0,0,1,0,3,5,2,9
145,5,6,4,10,6,22,1,0,0,1,0,0,0,0,3,5,1,27
146,8,7,7,14,6,31,2,0,0,0,1,0,0,0,2,5,5,27
148,6,9,7,13,4,30,2,1,0,0,0,0,0,0,1,5,1,24
149,6,7,5,10,5,23,3,0,0,0,0,1,0,0,3,4,1,27
150,3,3,3,6,6,13,1,0,0,1,0,0,0,0,3,5,2,4
152,4,8,4,13,6,26,1,0,0,1,0,0,0,0,3,5,2,8
153,3,3,3,7,6,14,1,0,0,0,0,0,1,0,2,6,2,27
154,8,8,7,16,6,33,3,0,0,1,0,0,0,0,4,4,1,8
155,4,5,5,8,6,19,1,0,0,0,0,0,1,0,2,6,2,27
156,6,8,7,14,6,31,1,0,0,0,0,1,0,0,3,6,2,7
157,7,8,6,14,4,31,2,0,0,0,0,1,0,0,1,3,1,27
158,4,6,3,12,7,23,1,0,1,0,0,0,0,0,3,4,2,27
159,3,4,3,8,7,16,1,0,0,1,0,0,0,0,2,4,2,8
161,5,8,6,9,7,24,2,0,0,0,0,1,0,0,3,6,2,17
162,6,7,6,13,6,28,2,0,0,0,0,1,0,0,3,5,1,5
163,5,4,5,10,7,20,1,0,0,0,1,0,0,0,2,5,2,7
165,6,6,6,10,7,24,2,0,0,0,1,0,0,0,2,5,1,7
167,3,7,3,8,5,19,1,0,0,0,1,0,0,0,3,6,1,27
169,7,8,7,16,6,33,2,0,0,1,0,0,0,0,2,6,1,9
171,3,3,3,8,5,15,1,0,1,0,0,0,0,0,3,6,1,16
173,6,9,7,13,4,30,2,1,0,0,0,0,0,0,3,3,2,8
174,4,3,4,6,6,14,1,1,0,0,0,0,0,0,1,5,2,8
175,7,7,7,13,6,29,2,0,0,0,0,1,0,0,4,4,2,25
176,8,6,4,15,7,29,2,0,0,0,0,0,1,0,3,4,1,5
177,7,7,4,9,3,23,3,1,0,0,0,0,0,0,1,5,1,15
178,6,6,7,13,6,28,1,0,0,0,1,0,0,0,3,4,2,8
179,5,7,5,12,7,25,1,0,0,0,0,1,0,0,5,3,1,27
181,5,4,5,12,4,22,1,0,0,1,0,0,0,0,2,5,2,27
182,7,6,8,10,7,26,1,0,0,1,0,0,0,0,2,4,2,8
183,5,5,6,14,7,26,1,1,0,0,0,0,0,0,5,5,1,17
184,5,3,4,7,7,16,1,1,0,0,0,0,0,0,3,5,2,24
185,3,5,3,9,7,18,1,0,0,0,1,0,0,0,3,5,1,27
186,5,8,5,15,6,29,1,0,0,1,0,0,0,0,5,5,1,7
187,4,5,4,14,7,24,1,0,0,1,0,0,0,0,1,5,2,19
188,8,10,5,10,5,28,3,0,0,0,1,0,0,0,3,6,1,26
189,3,3,3,5,6,12,1,0,0,0,0,1,0,0,1,6,2,7
190,6,8,5,14,5,29,1,0,0,1,0,0,0,0,3,5,1,26
191,4,7,4,11,6,23,1,1,0,0,0,0,0,0,3,6,1,9
192,4,5,5,10,4,22,1,0,0,0,0,0,1,0,3,5,2,6
193,7,6,5,9,5,23,2,0,0,1,0,0,0,0,2,5,1,14
194,6,4,5,9,6,20,1,0,0,0,1,0,0,0,1,5,2,26
195,3,3,3,6,6,13,1,0,0,0,0,0,1,0,5,5,2,2
196,8,7,7,13,7,30,2,0,0,0,1,0,0,0,4,4,2,8
197,4,5,4,9,7,19,1,0,0,1,1,0,0,0,3,6,2,27
199,10,8,11,19,5,42,3,0,0,0,0,1,0,0,1,6,2,15
200,3,9,3,9,6,22,1,0,0,1,0,0,0,0,2,6,2,1
202,3,3,3,7,7,14,1,0,0,1,0,0,0,0,3,6,2,18
203,7,10,9,16,4,38,2,0,0,1,0,0,0,0,2,5,5,6
204,5,5,5,13,7,24,1,0,0,0,0,1,0,0,2,5,2,3
205,4,7,7,14,3,29,2,1,0,0,0,0,0,0,1,5,2,12
206,5,6,5,8,6,20,1,0,0,1,0,0,0,0,2,5,1,4
207,8,6,6,12,3,28,2,0,0,0,0,1,0,0,3,3,2,27
208,5,5,4,13,6,23,2,0,0,1,0,0,0,0,2,5,2,6
209,5,8,4,13,6,27,1,0,0,0,0,0,0,1,2,4,2,27
210,7,7,7,16,6,32,3,0,0,0,0,1,0,0,2,5,2,8
211,5,6,5,14,4,26,1,0,1,0,0,0,0,0,5,5,5,9
212,4,5,5,9,7,20,2,0,0,0,0,1,0,0,3,4,2,9
214,4,7,4,16,6,28,1,0,0,0,0,0,1,0,3,5,2,27
215,5,6,5,11,3,24,1,0,0,0,0,1,0,0,3,5,1,7
216,4,3,4,5,7,13,1,0,0,0,1,0,0,0,3,3,2,1
217,4,5,8,11,6,25,1,0,0,0,0,1,0,0,3,4,1,27
218,4,7,4,10,7,22,1,0,0,0,1,0,0,0,1,5,2,27
219,4,7,4,11,3,23,1,0,0,0,0,0,1,0,4,5,2,27
220,6,5,6,6,4,18,1,0,0,1,0,0,0,0,2,5,2,6
221,3,4,3,7,6,15,1,0,0,0,1,0,0,0,2,6,1,13
222,3,6,4,6,7,17,1,0,0,0,0,1,0,0,5,5,2,27
223,6,10,6,12,5,30,1,0,0,0,1,0,0,0,3,4,1,19
224,3,3,3,7,7,14,1,0,1,0,0,0,0,0,1,4,1,19
225,3,5,5,9,6,20,1,0,0,0,0,1,0,0,3,6,1,8
226,8,7,6,11,7,26,2,0,0,0,0,1,0,0,1,5,2,8
227,4,6,3,11,4,22,1,0,0,1,0,0,0,0,4,6,1,5
228,6,5,5,11,4,23,2,1,0,0,0,0,0,0,1,6,1,24
230,8,7,7,16,5,33,2,0,0,0,0,1,0,0,1,5,1,5
231,9,7,7,14,3,32,2,0,0,0,0,1,0,0,1,6,1,2
232,7,7,6,10,4,26,2,0,0,0,0,1,0,0,1,6,1,7
233,3,5,3,8,7,17,1,0,0,0,0,1,0,0,1,5,1,5
235,6,6,7,12,4,27,1,0,0,0,1,0,0,0,3,6,1,7
236,10,7,7,8,7,26,2,0,1,0,0,0,0,0,3,4,1,27
237,6,8,7,15,7,32,1,1,0,0,0,0,0,0,1,5,1,8
238,4,6,6,9,4,22,1,0,0,1,0,0,0,0,2,6,1,13
239,6,6,7,11,5,26,1,1,0,0,0,0,0,0,2,6,1,8
240,5,3,5,5,7,14,1,0,1,0,0,0,0,0,2,5,2,8
241,7,3,6,13,7,24,1,0,1,0,0,0,0,0,1,6,2,8
242,5,5,5,16,4,28,1,1,0,0,0,0,0,0,1,5,1,23
243,5,6,5,12,5,25,1,1,0,0,0,0,0,0,1,5,5,19
244,3,3,3,7,7,14,1,0,0,0,0,0,1,0,2,5,2,14
245,4,4,4,12,4,22,1,0,1,0,0,0,0,0,1,6,1,7
247,5,5,4,14,6,25,1,0,0,1,0,0,0,0,1,5,1,8
248,6,4,5,16,5,27,2,0,1,0,0,0,0,0,2,5,1,13
249,5,4,5,11,7,21,1,0,1,0,0,0,0,0,1,5,2,4
250,3,4,4,11,6,20,1,0,0,0,1,0,0,0,2,6,1,4
251,5,7,5,14,5,27,1,0,0,0,0,1,0,0,3,5,2,27
252,5,4,4,11,6,20,2,0,1,0,0,0,0,0,4,6,1,8
253,6,8,7,14,6,30,1,1,0,0,0,0,0,0,2,5,1,24
254,4,5,4,9,7,19,1,0,1,0,0,0,0,0,2,6,1,8
255,6,5,6,13,7,25,1,1,0,0,0,0,0,0,1,3,5,12
256,7,6,6,17,7,31,1,1,0,0,0,0,0,0,3,6,2,17
258,5,6,6,10,7,23,1,1,0,0,0,0,0,0,3,5,1,7
259,7,6,7,12,5,27,2,0,0,0,0,0,1,0,5,6,2,27
260,4,4,4,8,6,17,1,0,0,1,0,0,0,0,5,6,1,8
261,4,7,5,11,6,24,1,1,0,0,0,0,0,0,2,4,2,24
262,6,5,6,13,6,25,1,0,0,0,1,0,0,0,4,5,2,8
263,6,5,6,12,5,25,2,0,0,0,0,0,1,0,3,6,2,27
265,9,6,8,12,7,29,2,0,0,0,0,1,0,0,3,5,1,7
266,4,5,4,10,5,20,1,0,0,0,0,1,0,0,1,5,1,27
267,6,6,5,13,7,25,2,1,0,0,0,0,0,0,2,5,1,24
268,5,8,6,14,7,30,1,0,0,0,0,0,1,0,5,5,2,27
269,4,5,4,12,4,22,1,0,0,0,0,1,0,0,5,5,2,14
270,6,6,6,14,5,28,2,0,0,0,1,0,0,0,2,5,2,19
271,6,6,7,14,7,29,2,0,0,0,0,1,0,0,3,5,2,8
272,8,7,7,15,6,32,2,0,1,0,0,0,0,0,3,5,1,24
273,5,7,8,17,6,33,1,0,1,0,0,0,0,0,1,5,1,14
274,4,6,6,10,3,23,1,0,0,0,0,0,1,0,5,5,1,27
275,3,5,5,9,6,20,1,0,0,0,0,1,0,0,3,6,2,8
276,6,7,6,13,5,28,2,0,0,1,0,0,0,0,1,6,1,7
277,9,10,11,19,7,42,3,0,0,0,0,1,0,0,5,5,1,9
278,7,6,6,12,6,26,1,0,0,0,1,0,0,0,2,6,2,8
280,3,4,3,13,7,21,1,0,1,0,0,0,0,0,2,5,1,11
281,4,4,4,14,5,23,1,0,0,1,0,0,0,0,4,4,2,3
282,11,9,11,22,6,44,5,0,0,1,0,0,0,0,5,4,2,8
284,3,3,3,9,7,16,1,0,0,0,1,0,0,0,3,4,1,12
285,7,7,10,21,7,40,3,1,0,0,0,0,0,0,5,5,1,8
286,3,7,3,8,7,19,1,0,0,0,0,1,0,0,5,5,1,13
287,7,7,6,12,7,26,2,0,0,0,1,0,0,0,1,5,2,24
288,10,7,8,13,4,32,2,0,0,0,1,0,0,0,3,6,1,14
289,7,7,6,13,6,28,1,0,1,0,0,0,0,0,1,6,1,24
290,4,6,6,9,7,22,1,0,0,0,0,1,0,0,1,6,2,7
291,4,7,4,11,6,23,1,0,0,1,0,0,0,0,5,5,1,20
292,5,4,5,11,7,21,1,0,0,0,1,0,0,0,3,6,1,8
293,7,10,9,17,5,38,3,0,0,0,0,1,0,0,2,3,2,18
294,4,4,3,13,7,22,1,0,0,0,0,1,0,0,4,4,1,2
295,6,7,7,12,4,28,2,0,0,1,0,0,0,0,3,5,2,14
296,6,5,7,10,6,23,2,0,1,0,0,0,0,0,3,5,2,5
297,7,7,4,11,6,24,3,0,0,1,0,0,0,0,2,5,2,5
298,4,6,5,11,4,24,1,0,0,1,0,0,0,0,1,6,2,17
299,4,4,4,12,5,21,1,0,0,0,0,1,0,0,5,5,2,8
300,6,6,6,11,7,25,2,1,0,0,0,0,0,0,2,4,1,24
301,3,4,3,8,5,16,1,0,0,1,0,0,0,0,1,4,2,18
302,4,8,5,12,4,27,1,0,0,0,0,1,0,0,3,4,1,18
303,7,7,7,14,6,30,2,0,0,1,0,0,0,0,5,6,1,8
305,4,5,4,9,7,19,1,0,0,0,1,0,0,0,3,5,1,8
307,7,6,8,13,7,29,2,0,0,0,0,1,0,0,1,4,1,8
309,3,4,3,9,5,17,1,0,1,0,0,0,0,0,3,5,1,27
310,6,5,5,10,6,23,1,0,0,0,0,0,1,0,3,5,2,27
311,3,3,3,5,7,12,1,0,0,0,0,0,1,0,2,5,2,2
313,3,3,3,11,6,18,1,1,0,0,0,0,0,0,1,5,2,1
314,10,8,10,18,7,40,2,0,0,0,0,1,0,0,5,4,2,11
316,3,4,3,8,4,16,1,0,0,1,0,0,0,0,3,4,1,27
317,4,7,4,9,5,21,1,0,1,0,0,0,0,0,4,4,5,14
318,5,5,5,9,5,20,1,0,1,0,0,0,0,0,1,6,1,17
319,7,7,7,16,3,33,2,0,1,0,0,0,0,0,1,5,1,4
320,6,6,7,17,4,32,2,1,0,0,0,0,0,0,2,3,1,2
321,4,5,5,14,7,25,1,0,0,0,0,1,0,0,3,6,2,22
322,5,7,5,12,6,26,1,0,0,0,0,0,0,1,3,5,2,8
323,7,5,5,15,7,27,2,0,0,0,0,1,0,0,3,5,1,13
324,4,4,6,13,7,24,1,0,1,0,0,0,0,0,2,4,2,27
325,5,8,4,9,6,23,1,0,0,0,1,0,0,0,2,6,1,8
326,5,6,4,12,6,24,1,0,0,0,0,1,0,0,4,6,1,27
327,3,4,4,11,5,20,1,0,0,1,0,0,0,0,2,4,2,22
328,4,3,3,5,5,13,1,0,0,1,0,0,0,0,5,5,1,27
329,5,7,5,13,5,26,1,0,0,0,0,1,0,0,3,6,1,8
330,6,5,6,12,5,24,1,0,0,0,1,0,0,0,3,6,2,8
331,7,8,4,16,4,31,2,0,0,0,0,1,0,0,2,5,2,7
332,3,6,3,8,5,18,1,0,0,1,0,0,0,0,2,4,2,27
333,7,9,7,16,7,34,3,0,0,0,0,1,0,0,5,6,2,8
334,4,7,3,7,5,18,2,0,0,1,0,0,0,0,3,3,2,27
335,5,5,4,13,7,25,1,0,0,1,0,0,0,0,2,5,1,12
337,6,9,7,15,5,33,2,0,0,0,0,0,0,1,4,6,1,27
338,5,4,5,13,6,23,1,0,0,1,0,0,0,0,3,6,1,8
341,7,8,6,11,6,27,2,0,0,0,1,0,0,0,3,5,1,7
342,7,5,5,9,6,22,1,0,0,0,1,0,0,0,4,5,5,7
343,10,10,10,21,6,42,4,0,0,0,0,1,0,0,5,6,2,8
344,5,7,5,11,6,25,1,0,0,0,1,0,0,0,3,6,1,13
345,4,6,4,9,5,20,1,0,0,0,1,0,0,0,2,6,2,27
346,5,6,5,16,7,28,1,0,0,0,0,1,0,0,1,6,2,6
347,3,3,3,5,7,12,1,0,0,0,0,1,0,0,1,3,2,6
348,4,7,5,10,6,23,1,0,0,1,0,0,0,0,2,4,2,5
349,4,5,8,13,3,27,2,0,0,1,0,0,0,0,1,5,1,13
350,6,5,4,13,6,24,2,0,0,0,1,0,0,0,3,5,1,7
351,5,6,5,11,5,24,2,1,0,0,0,0,0,0,1,6,1,24
353,5,7,6,11,7,25,1,0,0,0,0,1,0,0,5,5,2,4
354,5,6,4,11,7,23,1,0,0,1,0,0,0,0,1,6,2,27
355,6,7,6,11,6,26,2,0,0,0,0,0,1,0,4,4,1,27
357,10,9,11,18,7,41,3,0,0,0,0,0,1,0,5,4,2,27
358,6,5,4,9,5,21,1,0,1,0,0,0,0,0,1,5,2,13
359,5,8,7,12,5,28,2,0,0,0,0,1,0,0,5,6,1,7
360,3,3,3,5,7,12,1,0,0,0,1,0,0,0,4,5,2,13
361,4,3,4,8,7,16,1,0,1,0,0,0,0,0,2,5,1,24
362,7,10,11,18,4,41,4,0,0,0,0,1,0,0,2,6,1,23
363,3,3,3,6,7,13,1,0,0,0,0,1,0,0,2,6,1,27
364,3,6,3,13,7,23,1,0,1,0,0,0,0,0,1,6,3,8
365,5,9,6,10,5,26,2,0,1,0,0,0,0,0,2,5,1,27
366,7,4,6,10,7,22,1,0,0,0,0,1,0,0,2,5,3,13
367,3,6,3,7,6,17,1,0,0,0,1,0,0,0,2,4,2,25
368,10,11,10,14,3,38,4,0,0,0,0,1,0,0,4,5,1,27
369,5,6,11,18,3,36,1,1,0,0,0,0,0,0,1,6,2,24
370,3,4,3,6,6,14,1,0,1,0,0,0,0,0,2,6,1,2
371,5,6,6,10,7,24,1,0,1,0,0,0,0,0,2,6,3,2
372,7,7,8,14,5,31,2,0,0,0,0,1,1,0,3,5,1,8
373,4,7,6,12,4,26,1,0,0,0,0,1,0,0,4,6,2,8
374,10,9,8,17,7,37,3,0,1,0,0,0,0,0,4,6,2,17
375,11,8,9,15,5,36,2,0,1,0,0,0,0,0,1,5,1,7
376,4,7,4,13,7,25,1,1,0,0,0,0,0,0,1,5,1,24
377,3,9,3,8,3,21,1,0,1,0,0,0,0,0,2,6,1,23
378,4,5,4,10,4,20,1,0,0,0,0,0,0,1,1,5,1,27
379,3,3,3,5,5,12,1,0,1,0,0,0,0,0,1,6,2,27
381,7,6,5,13,6,27,2,0,0,0,0,1,0,0,2,3,1,12
382,9,8,8,17,7,36,2,1,0,0,0,0,0,0,5,6,1,24
383,4,6,5,9,4,21,1,0,0,0,0,0,1,0,3,6,1,8
384,7,8,8,15,3,33,2,0,0,0,0,1,0,0,5,5,2,1
385,5,7,3,11,7,24,1,0,0,0,0,0,1,0,2,4,1,7
386,5,4,4,12,6,22,1,0,0,0,1,0,0,0,3,5,1,7
387,9,10,7,17,7,35,4,0,0,0,0,0,1,0,3,4,1,27
